Origin Name,Origin Code,Destination Name,Destination Code,Departure Date,Arrival Date,Duration,Operator,Transport Type,Fare,Origin ID,Destination ID,Service ID
Bridgwater,183,Bristol,13,29/10/2024 21:13,2024-10-29T22:25:00,PT1H12M,megabus Falcon,coach,9.25,183,13,85621299
Bridgwater,183,Bristol,13,29/10/2024 23:13,2024-10-30T00:24:00,PT1H11M,megabus Falcon,coach,9.25,183,13,85631547
Bridgwater,183,Bristol,13,30/10/2024 01:13,2024-10-30T02:24:00,PT1H11M,megabus Falcon,coach,9.25,183,13,85641795
Bridgwater,183,Bristol,13,30/10/2024 03:12,2024-10-30T04:24:00,PT1H12M,megabus Falcon,coach,11.2,183,13,85427144
Bridgwater,183,Bristol,13,30/10/2024 04:12,2024-10-30T05:24:00,PT1H12M,megabus Falcon,coach,11.2,183,13,85437392
Bridgwater,183,Bristol,13,30/10/2024 05:12,2024-10-30T06:24:00,PT1H12M,megabus Falcon,coach,11.2,183,13,85447640
Bridgwater,183,Bristol,13,30/10/2024 06:12,2024-10-30T07:24:00,PT1H12M,megabus Falcon,coach,11.2,183,13,85457888
Bridgwater,183,Bristol,13,30/10/2024 07:13,2024-10-30T08:36:00,PT1H23M,megabus Falcon,coach,11.2,183,13,85488103
Bridgwater,183,Bristol,13,30/10/2024 08:14,2024-10-30T09:36:00,PT1H22M,megabus Falcon,coach,11.2,183,13,85498351
Bridgwater,183,Bristol,13,30/10/2024 09:20,2024-10-30T10:38:00,PT1H18M,megabus Falcon,coach,11.2,183,13,85510279
Bridgwater,183,Bristol,13,30/10/2024 10:20,2024-10-30T11:38:00,PT1H18M,megabus Falcon,coach,11.2,183,13,85520527
Bridgwater,183,Bristol,13,30/10/2024 11:30,2024-10-30T12:49:00,PT1H19M,megabus Falcon,coach,11.2,183,13,85529095
Bridgwater,183,Bristol,13,30/10/2024 12:47,2024-10-30T14:05:00,PT1H18M,megabus Falcon,coach,9.25,183,13,85538083
Bridgwater,183,Bristol,13,30/10/2024 13:45,2024-10-30T15:06:00,PT1H21M,megabus Falcon,coach,9.25,183,13,85549591
Bridgwater,183,Bristol,13,30/10/2024 14:45,2024-10-30T16:07:00,PT1H22M,megabus Falcon,coach,9.25,183,13,85559839
Bridgwater,183,Bristol,13,30/10/2024 15:47,2024-10-30T17:07:00,PT1H20M,megabus Falcon,coach,9.25,183,13,85571767
Bridgwater,183,Bristol,13,30/10/2024 16:48,2024-10-30T18:07:00,PT1H19M,megabus Falcon,coach,9.25,183,13,85582015
Bridgwater,183,Bristol,13,30/10/2024 17:51,2024-10-30T19:08:00,PT1H17M,megabus Falcon,coach,9.25,183,13,85592263
Bridgwater,183,Bristol,13,30/10/2024 18:49,2024-10-30T20:04:00,PT1H15M,megabus Falcon,coach,9.25,183,13,85602511
Bridgwater,183,Bristol,13,30/10/2024 20:03,2024-10-30T21:15:00,PT1H12M,megabus Falcon,coach,9.25,183,13,85611079
Bridgwater,183,Bristol,13,30/10/2024 21:13,2024-10-30T22:25:00,PT1H12M,megabus Falcon,coach,9.25,183,13,85621327
Bridgwater,183,Bristol,13,30/10/2024 23:13,2024-10-31T00:24:00,PT1H11M,megabus Falcon,coach,9.25,183,13,85631575
Bridgwater,183,Bristol,13,31/10/2024 01:13,2024-10-31T02:24:00,PT1H11M,megabus Falcon,coach,9.25,183,13,85641823
